id	Date	time	authorize	destination	remark	Description
cj1290	2008-05-28	1970-01-01 21:15:00	friscino	galaxo smith kline, stevenage, hertfordshire, england	dale holt: uk phone 07876 391462; dale.a.holt@gsk.com	authorize: friscino, destination: galaxo smith kline, stevenage, hertfordshire, england, remark: dale holt: uk phone 07876 391462; dale.a.holt@gsk.com
cj1407	2008-05-28	1970-01-01 21:15:00	friscino	galaxo smith kline, stevenage, hertfordshire, england	dale holt: uk phone 07876 391462; dale.a.holt@gsk.com	authorize: friscino, destination: galaxo smith kline, stevenage, hertfordshire, england, remark: dale holt: uk phone 07876 391462; dale.a.holt@gsk.com
cj1406	2008-05-28	1970-01-01 21:15:00	friscino	galaxo smith kline, stevenage, hertfordshire, england	dale holt: uk phone 07876 391462; dale.a.holt@gsk.com	authorize: friscino, destination: galaxo smith kline, stevenage, hertfordshire, england, remark: dale holt: uk phone 07876 391462; dale.a.holt@gsk.com
cj1468	2008-05-28	1970-01-01 21:15:00	friscino	galaxo smith kline, stevenage, hertfordshire, england	dale holt: uk phone 07876 391462; dale.a.holt@gsk.com	authorize: friscino, destination: galaxo smith kline, stevenage, hertfordshire, england, remark: dale holt: uk phone 07876 391462; dale.a.holt@gsk.com
cj1377	2008-05-28	1970-01-01 21:15:00	friscino	galaxo smith kline, stevenage, hertfordshire, england	dale holt: uk phone 07876 391462; dale.a.holt@gsk.com	authorize: friscino, destination: galaxo smith kline, stevenage, hertfordshire, england, remark: dale holt: uk phone 07876 391462; dale.a.holt@gsk.com
cj1467	2008-05-28	1970-01-01 21:15:00	friscino	galaxo smith kline, stevenage, hertfordshire, england	dale holt: uk phone 07876 391462; dale.a.holt@gsk.com	authorize: friscino, destination: galaxo smith kline, stevenage, hertfordshire, england, remark: dale holt: uk phone 07876 391462; dale.a.holt@gsk.com
cj1326	2008-05-28	1970-01-01 21:15:00	friscino	galaxo smith kline, stevenage, hertfordshire, england	dale holt: uk phone 07876 391462; dale.a.holt@gsk.com	authorize: friscino, destination: galaxo smith kline, stevenage, hertfordshire, england, remark: dale holt: uk phone 07876 391462; dale.a.holt@gsk.com
cj1276	2008-05-28	1970-01-01 21:15:00	friscino	galaxo smith kline, stevenage, hertfordshire, england	dale holt: uk phone 07876 391462; dale.a.holt@gsk.com	authorize: friscino, destination: galaxo smith kline, stevenage, hertfordshire, england, remark: dale holt: uk phone 07876 391462; dale.a.holt@gsk.com
cj1500	2008-05-28	1970-01-01 21:15:00	friscino	galaxo smith kline, stevenage, hertfordshire, england	dale holt: uk phone 07876 391462; dale.a.holt@gsk.com	authorize: friscino, destination: galaxo smith kline, stevenage, hertfordshire, england, remark: dale holt: uk phone 07876 391462; dale.a.holt@gsk.com
cj1499	2008-05-28	1970-01-01 21:15:00	friscino	galaxo smith kline, stevenage, hertfordshire, england	dale holt: uk phone 07876 391462; dale.a.holt@gsk.com	authorize: friscino, destination: galaxo smith kline, stevenage, hertfordshire, england, remark: dale holt: uk phone 07876 391462; dale.a.holt@gsk.com
cj0964	2008-05-28	1970-01-01 21:15:00	friscino	galaxo smith kline, stevenage, hertfordshire, england	dale holt: uk phone 07876 391462; dale.a.holt@gsk.com	authorize: friscino, destination: galaxo smith kline, stevenage, hertfordshire, england, remark: dale holt: uk phone 07876 391462; dale.a.holt@gsk.com
cj1388	2008-05-28	1970-01-01 21:15:00	friscino	galaxo smith kline, stevenage, hertfordshire, england	dale holt: uk phone 07876 391462; dale.a.holt@gsk.com	authorize: friscino, destination: galaxo smith kline, stevenage, hertfordshire, england, remark: dale holt: uk phone 07876 391462; dale.a.holt@gsk.com
cj1385	2008-05-28	1970-01-01 21:15:00	friscino	galaxo smith kline, stevenage, hertfordshire, england	dale holt: uk phone 07876 391462; dale.a.holt@gsk.com	authorize: friscino, destination: galaxo smith kline, stevenage, hertfordshire, england, remark: dale holt: uk phone 07876 391462; dale.a.holt@gsk.com
cj1297	2008-05-28	1970-01-01 21:15:00	friscino	galaxo smith kline, stevenage, hertfordshire, england	dale holt: uk phone 07876 391462; dale.a.holt@gsk.com	authorize: friscino, destination: galaxo smith kline, stevenage, hertfordshire, england, remark: dale holt: uk phone 07876 391462; dale.a.holt@gsk.com
cj1493	2008-05-28	1970-01-01 21:15:00	friscino	galaxo smith kline, stevenage, hertfordshire, england	dale holt: uk phone 07876 391462; dale.a.holt@gsk.com	authorize: friscino, destination: galaxo smith kline, stevenage, hertfordshire, england, remark: dale holt: uk phone 07876 391462; dale.a.holt@gsk.com
cj1513	2008-05-28	1970-01-01 21:15:00	friscino	galaxo smith kline, stevenage, hertfordshire, england	dale holt: uk phone 07876 391462; dale.a.holt@gsk.com	authorize: friscino, destination: galaxo smith kline, stevenage, hertfordshire, england, remark: dale holt: uk phone 07876 391462; dale.a.holt@gsk.com
cj1004	2008-05-28	1970-01-01 21:15:00	friscino	galaxo smith kline, stevenage, hertfordshire, england	dale holt: uk phone 07876 391462; dale.a.holt@gsk.com	authorize: friscino, destination: galaxo smith kline, stevenage, hertfordshire, england, remark: dale holt: uk phone 07876 391462; dale.a.holt@gsk.com
cj1512	2008-05-28	1970-01-01 21:15:00	friscino	galaxo smith kline, stevenage, hertfordshire, england	dale holt: uk phone 07876 391462; dale.a.holt@gsk.com	authorize: friscino, destination: galaxo smith kline, stevenage, hertfordshire, england, remark: dale holt: uk phone 07876 391462; dale.a.holt@gsk.com
cj1373	2008-05-28	1970-01-01 21:15:00	friscino	galaxo smith kline, stevenage, hertfordshire, england	dale holt: uk phone 07876 391462; dale.a.holt@gsk.com	authorize: friscino, destination: galaxo smith kline, stevenage, hertfordshire, england, remark: dale holt: uk phone 07876 391462; dale.a.holt@gsk.com
cj1461	2008-05-28	1970-01-01 21:15:00	friscino	galaxo smith kline, stevenage, hertfordshire, england	dale holt: uk phone 07876 391462; dale.a.holt@gsk.com	authorize: friscino, destination: galaxo smith kline, stevenage, hertfordshire, england, remark: dale holt: uk phone 07876 391462; dale.a.holt@gsk.com
cj1288	2008-05-28	1970-01-01 21:15:00	friscino	galaxo smith kline, stevenage, hertfordshire, england	dale holt: uk phone 07876 391462; dale.a.holt@gsk.com	authorize: friscino, destination: galaxo smith kline, stevenage, hertfordshire, england, remark: dale holt: uk phone 07876 391462; dale.a.holt@gsk.com
cj1058	2008-05-28	1970-01-01 21:15:00	friscino	galaxo smith kline, stevenage, hertfordshire, england	dale holt: uk phone 07876 391462; dale.a.holt@gsk.com	authorize: friscino, destination: galaxo smith kline, stevenage, hertfordshire, england, remark: dale holt: uk phone 07876 391462; dale.a.holt@gsk.com
cj1180	2008-05-28	1970-01-01 21:15:00	friscino	galaxo smith kline, stevenage, hertfordshire, england	dale holt: uk phone 07876 391462; dale.a.holt@gsk.com	authorize: friscino, destination: galaxo smith kline, stevenage, hertfordshire, england, remark: dale holt: uk phone 07876 391462; dale.a.holt@gsk.com
cj1519	2008-05-28	1970-01-01 21:15:00	friscino	galaxo smith kline, stevenage, hertfordshire, england	dale holt: uk phone 07876 391462; dale.a.holt@gsk.com	authorize: friscino, destination: galaxo smith kline, stevenage, hertfordshire, england, remark: dale holt: uk phone 07876 391462; dale.a.holt@gsk.com
cj1357	2008-05-28	1970-01-01 21:15:00	friscino	galaxo smith kline, stevenage, hertfordshire, england	dale holt: uk phone 07876 391462; dale.a.holt@gsk.com	authorize: friscino, destination: galaxo smith kline, stevenage, hertfordshire, england, remark: dale holt: uk phone 07876 391462; dale.a.holt@gsk.com
cj1518	2008-05-28	1970-01-01 21:15:00	friscino	galaxo smith kline, stevenage, hertfordshire, england	dale holt: uk phone 07876 391462; dale.a.holt@gsk.com	authorize: friscino, destination: galaxo smith kline, stevenage, hertfordshire, england, remark: dale holt: uk phone 07876 391462; dale.a.holt@gsk.com
cj1361	2008-05-28	1970-01-01 21:15:00	friscino	galaxo smith kline, stevenage, hertfordshire, england	dale holt: uk phone 07876 391462; dale.a.holt@gsk.com	authorize: friscino, destination: galaxo smith kline, stevenage, hertfordshire, england, remark: dale holt: uk phone 07876 391462; dale.a.holt@gsk.com
cj1386	2008-05-28	1970-01-01 21:15:00	friscino	galaxo smith kline, stevenage, hertfordshire, england	dale holt: uk phone 07876 391462; dale.a.holt@gsk.com	authorize: friscino, destination: galaxo smith kline, stevenage, hertfordshire, england, remark: dale holt: uk phone 07876 391462; dale.a.holt@gsk.com
cj1392	2008-05-28	1970-01-01 21:15:00	friscino	galaxo smith kline, stevenage, hertfordshire, england	dale holt: uk phone 07876 391462; dale.a.holt@gsk.com	authorize: friscino, destination: galaxo smith kline, stevenage, hertfordshire, england, remark: dale holt: uk phone 07876 391462; dale.a.holt@gsk.com
cj1262	2008-05-28	1970-01-01 21:15:00	friscino	galaxo smith kline, stevenage, hertfordshire, england	dale holt: uk phone 07876 391462; dale.a.holt@gsk.com	authorize: friscino, destination: galaxo smith kline, stevenage, hertfordshire, england, remark: dale holt: uk phone 07876 391462; dale.a.holt@gsk.com
cj0922	2008-05-28	1970-01-01 21:15:00	friscino	galaxo smith kline, stevenage, hertfordshire, england	dale holt: uk phone 07876 391462; dale.a.holt@gsk.com	authorize: friscino, destination: galaxo smith kline, stevenage, hertfordshire, england, remark: dale holt: uk phone 07876 391462; dale.a.holt@gsk.com
