id	Date	caseno	account	Description
rh1969	2008-12-23	07b036	lt73	Final Morphologic Diagnosis: Uterus: endometriosis, serosal surface, focal. There is no evidence of neoplastic disease. Histopathologic Description:  Present are 2 sections through the submitted mass.  The sections are similar.  Along the edge of a mass of adipose tissue is a more cellular mass consisting of several blood filled spaces lined by well differentiated cuboidal epithelium, consistent with endometrial tissue,  supported by moderate amounts of fibrous connective tissue.  There is a small amount of hemorrhage into the stroma in one of the sections.
rh1969	2008-12-23	08b036	lt73	Uterus: endometriosis, serosal surface, focal. Comment:  There is no evidence of neoplastic disease. Histopathologic Description:  Present are 2 sections through the submitted mass.  The sections are similar.  Along the edge of a mass of adipose tissue is a more cellular mass consisting of several blood filled spaces lined by well differentiated cuboidal epithelium, consistent with endometrial tissue,  supported by moderate amounts of fibrous connective tissue.  There is a small amount of hemorrhage into the stroma in one of the sections.
r04024	2008-12-04	08b035	lt73	The changes in the gingival are consistent with a typical foreign body reaction induced by the presence of hair. This lesion is often seen in animals that lick or groom excessively. Histopathologic Description: Gingival mass (1): There are five sections of gingival tissue on the slide. Numerous hair shafts are surrounded by suppurative to pyogranulomatous inflammation within most sections. There is multifocal ulceration of the epithelium with numerous large colonies of long filamentous organisms. One section of gingival tissue has multiple areas of subepithelial necrosis with mixed colonies of bacteria (rods and cocci) within necrotic foci. Gram stain: There are large clusters of gram-negative rods adherent to foci of ulceration. Within areas of necrosis there are mixed (rods and cocci) gram-negative bacteria. GMS/H&E: There is no evidence of fungi in any of the sections examined.
r07006	2008-12-02	08b034	lt73	Although gram-positive bacteria, yeast, and fungi were not noted on histologic examination, the presence of numerous neutrophils is suggestive of a bacterial infection. The granulation tissue is consistent with chronic irritation due to the presence of an implant. Histopathologic Description: Skin: Four sections of skin are present on the slide. Sections consist of granulation tissue with marked supurative and lymphoplasmacytic inflammation. There are smaller numbers of macrophages within the interstitium. Some sections have focally extensive coagulative necrosis with adherent mixed inflammation. Gram stain: There is no evidence of gram-positive bacteria in any of the sections examined.
r86054	2008-11-18	08b033	lt73	The dermal changes are consistent with chronic irritation/trauma. There is no evidence of infectious or neoplastic disease. Histopathologic Description: Haired skin (1): There is marked laminar orhtokeratotic hyperkeratosis with numerous small vesicles containing small numbers of eosinophils within the keratin layer. There is marked epidermal hyperplasia with rete peg formation. There is marked superficial dermal fibrosis with superficial and perivascular lymphoplasmacytic inflammation. There is marked pigmentary incontinence. Haired skin (2): As described above.
r95120	2008-11-14	08b031	lt73	The erythrophagocytosis in lymph node sections is indicative of hemorrhage or diapedisis in dependent tissues. Histopathologic Description: Mesenteric lymph node (1): Sections of lymph node are moderately edematous with numerous macrophages exhibiting erythrophagocytosis. There is mild lymphoid hyperplasia throughout the node.
r95120	2008-11-14	08b032	lt73	Final Morphologic Diagnosis:  Colon: marked diffuse lymphoplasmacytic colitis with muscular hyperplasia and hypertrophy. The muscular hyperplasia and hypertrophy caused thickening of the intestine. The colitis is the cause of this animals diarrhea. Histopathologic Description: Intestine, colon (1):  There is marked hypertrophy and hyperplasia of the external muscular layers of the colon. The mucosa is expanded by numerous lymphocytes and plasma cells. There are occasional neutrophils scattered throughout the lamina propria.
cj0984	2008-11-06	08b029	lt73	Final Morphologic Diagnosis: 1.  Placenta:  Normal placenta. (t-f1100) (m-00101). There are no significant lesions. Histopathologic Description:  There are 4 slides of the tissue.  Present are multiple sections through the placenta. The tissues are largely within normal limits.
r95004	2008-11-06	08b030	lt73	This is a benign condition and excision should be curative. Histopathologic Description: Mass (1): There are multiple sections of necrotic adipocytes surrounded by dense fibrotic tissue (capsule). There is mild multifocal lymphoplasmacytic inflammation adjacent to small arterioles.
r95004	2008-11-06	08b028	lt73	Final Morphologic Diagnosis: Placenta:  necrosis and mineralization, maternal decidua, moderate, diffuse. The syncytial trophoblastic and cytotrophoblastic layers are in remarkably good condition, given the condition of the maternal decidua. Histopathologic Description: Slide 1:  Placenta:  There are occasional foci of mineralization within the chorionic villi.  The vast majority of villi are unremarkable.  There is degeneration and necrosis within the maternal decidua. Slide 2:  Umbilical vessels:  There are no significant lesions.
r04083	2008-08-18	08b024	lt73	The significance of this lesion, relative to the long-term health of the animal, is unknown.  Histopathologic Description:  Present are serial sections of 2 fragments of liver.  A few microfoci with inflammatory cells, predominantly neutrophils are present, sometimes in association with hepatocellular drop out.  The hepatocytes and hepatic plates are largely unremarkable.  A portion of an unremarkable portal triad is present also.
r04083	2008-07-30	08b022	lt73	Final Morphologic Diagnosis: Skeletal muscle, connective tissue, and adipose: No significant histologic lesions. Comment: There is no evidence of liver in any of the sections examined. Histopathologic Description: Four sections of tissue are present on the slide. The sections consist of skeletal muscle, fibrous connective tissue, and adipocytes. There is mild sectioning artifact.
r96130	2008-07-14	08b015	lt73	Placental abruption was noted on ultrasound and confirmed surgically. The histologic findings in this case are consistent with a mature to hypermature placenta. There is no evidence of infectious or inflammatory disease. Histopathologic Description: Placenta (1): Three sections are present on the slide. There is moderate multifocal stromal mineralization throughout all sections.
r03002	2008-07-03	08b014	lt73	The histologic (as well as radiographic and clinical) presentation is unusual, and the significance is not known.  Neoplasia is not apparent in these sections. Histopathologic Description: Present are multiple tranvserse sections through the amputated 4th digit. The synovium around the bone is thickened with moderate numbers of lymphocytes, macrophages, and plasma cells, as well as occasional neutrophils in conjunction with increased fibrous connective tissue.  The bone of the digit is markedly thinned.  Along the subperiosteal surface are prominent osteoclasts and the surface of the bone is irregular.  Fragments of central trabecular bone are also present in a few sections.  There is marked thinning of this bone also.  The bone marrow is largely within normal limits with both hematopoietic and adipose tissue present. In several sections, the central bone is absent (tissue processing).
r96007	2008-06-24	08b012	lt73	Placenta: no significant histologic lesions. Comment: Normal placenta. Histopathologic Description: Placenta (1): Two sections of placenta are present on the slide. There is mild multifocal hemorrhage and congestion.
r96088	2008-05-30	08b010	lt73	Final Morphologic Diagnosis: Testicle: no histologic lesions. Comment: The tissue sections examined are consistent with active spermatogenesis. There is no evidence of infection, inflammation, or neoplasia in any of the tissue sections examined. Histopathologic Description: Testicle and epididymis (1): Seminiferous tubules are very active with spermatogenesis. Epididymal tubules are filled with mature sperm. Cremaster muscle and rete testes (3): No significant histologic lesions
r83107	2008-05-29	08b006	lt73	Final Morphologic Diagnosis: Stomach: diffuse lymphoplasmacytic gastritis with focal histiocytosis. The changes in this animals stomach are non-specific. Histopathologic Description: Two sections of gastric mucosa are present on the slide. There is moderate diffuse lymphoplasmacytic infiltration of the lamina propria with two small foci of histiocytic infiltration.
rh2328	2007-12-06	07b030	lt73	The changes in both skin sections are consistent with chronic dermal irritation and self-trauma. The histologic findings correlate well with the clinical description of moist skin-fold dermatitis currently undergoing therapy. The lack of infectious organisms in sections examined does not completely rule-out a bacterial or fungal infection.  Histopathologic Description: Skin from right side (1): There is moderate orthokeratotic hyperkeratosis with epidermal hyperplasia. Half of the section is denuded of epidermis. (Artifact). There is extensive dermal fibrosis, which displaces hair follicles and adnexa deep into the section. There is very mild superficial perivascular lymphoplasmacytic inflammation. There is pigmentary drop out/incontinence throughout the section. Gram stain: There is no evidence of gram-positive organisms in any of the sections examined. GMS/H&E: There is
cj1132	2007-10-17	07b024	lt73	Final Morphologic Diagnosis: No significant histologic lesions.  Excision of both ovaries appears complete. Histopathologic Description: Ovary (1, 2): Sections of complete mature ovary with primary, secondary, and tertiary follicles are present on both slides. There are sections of fallopian tube and connective tissue with minimal focal hemorrhage (surgical artifact).
cj1203	2007-10-17	07b025	lt73	Final Morphologic Diagnosis: No significant histologic lesions. Excision of both ovaries appears complete. Histopathologic Description: Ovary (1, 2): Sections of complete mature ovary with primary and secondary follicles, a corpus luteum, sections of fallopian tube, and connective tissue are present. There is mild mutifocal hemorrhage in the connective tissue (surgical artifact).
cj1184	2007-10-17	07b026	lt73	Final Morphologic Diagnosis: No significant histologic lesions. Excision of both ovaries appears complete. Histopathologic Description: Ovary (1, 2): Sections of complete mature ovary with primary and secondary follicles, several corpora lutea, sections of fallopian tube, and connective tissue are present. There is mild mutifocal hemorrhage in the connective tissue (surgical artifact).
cj1238	2007-10-17	07b027	lt73	Final Morphologic Diagnosis: No significant histologic lesions. Excision of both ovaries appears complete. Histopathologic Description: Ovary (1, 2): Sections of complete mature ovary with primary, secondary, and tertiary follicles are present on both slides. There are sections of fallopian tube and connective tissue with minimal focal hemorrhage (surgical artifact).
cj1042	2007-10-03	07b020	lt73	Comment: Final Morphologic Diagnosis: No significant histologic lesions.  Both ovaries are intact and complete. Histopathologic Description: Ovary (1): The ovary, fallopian tube, and adjacent adipose and connective tissues have no significant histologic lesions. Numerous primary, secondary, and tertiary follicles are present. Ovary (2): The ovary, fallopian tube, and adjacent adipose and connective tissues have no significant histologic lesions. Numerous primary, secondary, and tertiary follicles are present.
cj1192	2007-10-03	07b021	lt73	Final Morphologic Diagnosis: No significant histologic lesions.  Comment: Both ovaries are intact and complete. Histopathologic Description: Ovary (1): The ovary, fallopian tube, and adjacent adipose and connective tissues have no significant histologic lesions. Numerous primary, secondary, and tertiary follicles are present. Ovary (2): The ovary, fallopian tube, and adjacent adipose and connective tissues have no significant histologic lesions. Numerous primary, secondary, and tertiary follicles are present.
cj1162	2007-10-03	07b022	lt73	Final Morphologic Diagnosis: No significant histologic lesions.  Comment: Both ovaries are intact and complete. Histopathologic Description: Ovary (1): The ovary, fallopian tube, and adjacent adipose and connective tissues have no significant histologic lesions. Numerous primary, secondary, and tertiary follicles are present. Ovary (2): The ovary, fallopian tube, and adjacent adipose and connective tissues have no significant histologic lesions. Numerous primary, secondary, and tertiary follicles are present.
cj1166	2007-10-03	07b023	lt73	Final Morphologic Diagnosis: No significant histologic lesions. Comment: Both ovaries are intact and complete. Histopathologic Description: Ovary (1): The ovary, fallopian tube, and adjacent adipose and connective tissues have no significant histologic lesions. Numerous primary, secondary, and tertiary follicles are present. Ovary (2): The ovary, fallopian tube, and adjacent adipose and connective tissues have no significant histologic lesions. Numerous primary, secondary, and tertiary follicles are present.
r81041	2007-09-24	07b019	lt73	It is apparent that the tumor has spread locally.  There is a high probability that there has been vascular metastasis as well. Slide 1 (longitudinal section through colon with mass):  A distinct nonencapsulated transmural mass which effaces and replaces the colonic tissue extends from the mucosa out to the serosa and mesocolon and consists of neoplastic epithelial cells often arranged in nests or clusters, and many forming luminal spaces, separated by collagenous connective tissue (desmoplastic response).  Nodules of neoplastic tissue are present in the mesocolon.  Neoplastic cells are cuboidal to columnar, sometimes piling up with indistinct cytoplasmic boundaries, and often forming variably sized luminal structures.  Within lumina there is some hyaline material, mucin and some necrotic cells.  Nuclei are variably sized, round to irregular with coarsely clumped chromatin, occasional nuclear vesicula
r81041	2007-09-24	07b019	lt73	
r80179	2007-09-21	07b018	lt73	The transmural extension of the neoplasm and high mitotic index do not offer a good prognosis for this animal.  Histopathologic Descriptions: Slides 1&2: (longitudinal sections through colon with mass):  A distinct nonencapsulated transmural mass, which effaces and replaces the intestinal tissue, extends from the mucosa out to the serosa and consists of neoplastic epithelial cells often arranged in nests or clusters, and many forming luminal spaces, separated by collagenous connective tissue (desmoplastic response).   Neoplastic cells are cuboidal to columnar, sometimes piling up with indistinct cytoplasmic boundaries, and often forming variably sized luminal structures.  Within lumina there is some amphiphilic material (mucin) and some necrotic cells.  Nuclei are variably sized, round to irregular with finely stippled to clumped chromatin, occasional nuclear vesiculation, and 1 or 2 nucleoli. Mitoti
