id	Date	pno	time	remark	Description
r02135	2009-7-27	00300901	1970-01-01 08:00:00	s/o: Animal re-paired with partner r02116. a: Animal had been separated from partner to evaluate SIB.  Trial separation did not appear to reduce instances of SIB.  Upon re-pairing pair had good proximity and were sharing treats.  r02135 was fighting with neighboring animal through the front of the cage.  Other animal relocated in attempt to eliminate this behavior.  Animal observed self biting several times after looking at self in mirror.  Mirror will be permanently removed from cage in attempt to reduce SIB. p: Continue to monitor.  Consider weekly monitoring for SIB if behavior increases in frequency or severity.  MR	s/o: Animal re-paired with partner r02116. a: Animal had been separated from partner to evaluate SIB.  Trial separation did not appear to reduce instances of SIB.  Upon re-pairing pair had good proximity and were sharing treats.  r02135 was fighting with neighboring animal through the front of the cage.  Other animal relocated in attempt to eliminate this behavior.  Animal observed self biting several times after looking at self in mirror.  Mirror will be permanently removed from cage in attempt to reduce SIB. p: Continue to monitor.  Consider weekly monitoring for SIB if behavior increases in frequency or severity.  MR
r01107	2009-7-24	00300901	1970-01-01 08:00:00	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff.  Animal did not exhibit SIB, no wounds present. p: Continue to monitor.  Behavioral staff providing additional foraging opportunity on a regular basis.  MR	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff.  Animal did not exhibit SIB, no wounds present. p: Continue to monitor.  Behavioral staff providing additional foraging opportunity on a regular basis.  MR
r03123	2009-7-24	00300901	1970-01-01 08:00:00	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff.  Animal did not exhibit SIB, wound on back of L leg open, moist, red marks R inner thigh. p: Continue to monitor.  Behavioral staff providing additional foraging opportunity on a regular basis.  MR	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff.  Animal did not exhibit SIB, wound on back of L leg open, moist, red marks R inner thigh. p: Continue to monitor.  Behavioral staff providing additional foraging opportunity on a regular basis.  MR
r03086	2009-7-24	00300901	1970-01-01 08:00:00	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff.  Animal did not exhibit SIB, all wounds dry, healing. p: Continue to monitor.  Behavioral staff providing additional foraging opportunity on a regular basis.  MR	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff.  Animal did not exhibit SIB, all wounds dry, healing. p: Continue to monitor.  Behavioral staff providing additional foraging opportunity on a regular basis.  MR
cy0158	2009-7-24	00300901	1970-01-01 08:00:00	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff.  Animal did not exhibit SIB, R leg healed, R foot wounds top and bottom open, bleeding and swollen, animal exhibits head toss and floating limb, L leg. p: Continue to monitor.  Behavioral staff providing additional foraging opportunity on a regular basis.  MR	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff.  Animal did not exhibit SIB, R leg healed, R foot wounds top and bottom open, bleeding and swollen, animal exhibits head toss and floating limb, L leg. p: Continue to monitor.  Behavioral staff providing additional foraging opportunity on a regular basis.  MR
cy0161	2009-7-24	00300901	1970-01-01 08:00:00	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff.  Animal did not exhibit SIB, no wounds present. p: Continue to monitor.  Behavioral staff providing additional foraging opportunity on a regular basis.  MR	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff.  Animal did not exhibit SIB, no wounds present. p: Continue to monitor.  Behavioral staff providing additional foraging opportunity on a regular basis.  MR
r00032	2009-7-24	00300901	1970-01-01 08:00:00	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff.  Animal did not exhibit SIB, scabs L knee. p: Continue to monitor.  Behavioral staff providing additional foraging opportunity on a regular basis.  MR	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff.  Animal did not exhibit SIB, scabs L knee. p: Continue to monitor.  Behavioral staff providing additional foraging opportunity on a regular basis.  MR
r01022	2009-7-24	00300901	1970-01-01 08:00:00	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff.  Animal did not exhibit SIB, newer scratches both biceps and L shoulder. p: Continue to monitor.  Behavioral staff providing additional foraging opportunity on a regular basis.  MR	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff.  Animal did not exhibit SIB, newer scratches both biceps and L shoulder. p: Continue to monitor.  Behavioral staff providing additional foraging opportunity on a regular basis.  MR
cy0165	2009-7-24	00300901	1970-01-01 08:00:00	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff.  Animal did not exhibit SIB, healing scratches R inner leg. p: Continue to monitor.  Behavioral staff providing additional foraging opportunity on a regular basis.  MR	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff.  Animal did not exhibit SIB, healing scratches R inner leg. p: Continue to monitor.  Behavioral staff providing additional foraging opportunity on a regular basis.  MR
r01088	2009-7-24	00300901	1970-01-01 08:00:00	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff.  Animal did not exhibit SIB, no wounds present. p: Continue to monitor.  Behavioral staff providing additional foraging opportunity on a regular basis.  MR	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff.  Animal did not exhibit SIB, no wounds present. p: Continue to monitor.  Behavioral staff providing additional foraging opportunity on a regular basis.  MR
r01080	2009-7-24	00300901	1970-01-01 08:00:00	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff.  Animal did not exhibit SIB, arm wounds almost completely healed. p: Continue to monitor.  Behavioral staff providing additional foraging opportunity on a regular basis.  MR	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff.  Animal did not exhibit SIB, arm wounds almost completely healed. p: Continue to monitor.  Behavioral staff providing additional foraging opportunity on a regular basis.  MR
r01056	2009-7-24	00300901	1970-01-01 08:00:00	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff.  Animal was sedated at time of observation, no wounds present. p: Continue to monitor.  Behavioral staff providing additional foraging opportunity on a regular basis.  MR	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff.  Animal was sedated at time of observation, no wounds present. p: Continue to monitor.  Behavioral staff providing additional foraging opportunity on a regular basis.  MR
r01060	2009-7-24	00300901	1970-01-01 08:00:00	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff.  Animal did not exhibit SIB, no wounds present. p: Continue to monitor.  Behavioral staff providing additional foraging opportunity on a regular basis.  MR	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff.  Animal did not exhibit SIB, no wounds present. p: Continue to monitor.  Behavioral staff providing additional foraging opportunity on a regular basis.  MR
rh2034	2009-7-24	00300901	1970-01-01 08:00:00	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff.  Animal did not exhibit SIB, no wounds present. p: Continue to monitor.  Behavioral staff providing additional foraging opportunity on a regular basis.  MR	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff.  Animal did not exhibit SIB, no wounds present. p: Continue to monitor.  Behavioral staff providing additional foraging opportunity on a regular basis.  MR
r02033	2009-7-24	00300901	1970-01-01 08:00:00	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff.  Animal did not exhibit SIB, no wounds present. p: Continue to monitor.  Behavioral staff providing additional foraging opportunity on a regular basis.  MR	s/o: Animal has history of SIB. a: Animal assessed by behavioral staff.  Animal did not exhibit SIB, no wounds present. p: Continue to monitor.  Behavioral staff providing additional foraging opportunity on a regular basis.  MR
r89056	2009-7-24	00300901	1970-01-01 10:35:00	s/o: gradual pair test between r89056 and r88084;  test #1, 20 minutes;  conclusion:  inconclusive;  aggression:  no;  affiliation:  yes;  r89056 immediately presenting, then was avoidant, r88084 pacing, no aggression, shared same side briefly.  MR a:  p: 	s/o: gradual pair test between r89056 and r88084;  test #1, 20 minutes;  conclusion:  inconclusive;  aggression:  no;  affiliation:  yes;  r89056 immediately presenting, then was avoidant, r88084 pacing, no aggression, shared same side briefly.  MR a:  p: 
r88084	2009-7-24	00300901	1970-01-01 10:35:00	s/o: gradual pair test between r89056 and r88084;  test #1, 20 minutes;  conclusion:  inconclusive;  aggression:  no;  affiliation:  yes;  r89056 immediately presenting, then was avoidant, r88084 pacing, no aggression, shared same side briefly.  MR a:  p: 	s/o: gradual pair test between r89056 and r88084;  test #1, 20 minutes;  conclusion:  inconclusive;  aggression:  no;  affiliation:  yes;  r89056 immediately presenting, then was avoidant, r88084 pacing, no aggression, shared same side briefly.  MR a:  p: 
rh2335	2009-7-21	00300901	1970-01-01 11:30:00	s/o: Animal previously reported for SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB, no wounds present. p: Continue to monitor. No intervention at this time. NT	s/o: Animal previously reported for SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB, no wounds present. p: Continue to monitor. No intervention at this time. NT
rh2338	2009-7-21	00300901	1970-01-01 11:30:00	s/o: Animal reported by carestaff for chronic scabbing around eyes. a: Animal assessed by behavioral staff. Observed scab above left eye. Animal did not pick at wound during observation. Animal pacing. p: Continue to monitor. Additional foraging device provided in attempt to reduce any picking behavior. Behavioral staff may decide to continue additional foraging opportunity if problem persists.  NT	s/o: Animal reported by carestaff for chronic scabbing around eyes. a: Animal assessed by behavioral staff. Observed scab above left eye. Animal did not pick at wound during observation. Animal pacing. p: Continue to monitor. Additional foraging device provided in attempt to reduce any picking behavior. Behavioral staff may decide to continue additional foraging opportunity if problem persists.  NT
cy0209	2009-7-21	00300901	1970-01-01 10:00:00	s/o: Animal reported by carestaff for SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB, no visible wounds. p: No intervention at this time. Will re-evaluate animal if reports of SIB continue. NT	s/o: Animal reported by carestaff for SIB. a: Animal assessed by behavioral staff. Animal did not exhibit SIB, no visible wounds. p: No intervention at this time. Will re-evaluate animal if reports of SIB continue. NT
r02095	2009-7-2	00300901	1970-01-01 11:30:00	s/o: Animal reported for getting hand stuck in cage floor. a: Animal and partner have visible scratches. p: Relocate animal and partner within room in attempt to reduce stress and behavior of getting hand stuck in cage.  Discussed with care staff who will do relocation.  Continue to monitor.  MR	s/o: Animal reported for getting hand stuck in cage floor. a: Animal and partner have visible scratches. p: Relocate animal and partner within room in attempt to reduce stress and behavior of getting hand stuck in cage.  Discussed with care staff who will do relocation.  Continue to monitor.  MR
r02105	2009-7-2	00300901	1970-01-01 11:30:00	s/o: Animal previously reported for SIB. a: Animal and partner have visible scratches. p: Relocate animal and partner in attempt to reduce stress and SIB.  Discussed with care staff who will do relocation.  Continue to monitor.  MR	s/o: Animal previously reported for SIB. a: Animal and partner have visible scratches. p: Relocate animal and partner in attempt to reduce stress and SIB.  Discussed with care staff who will do relocation.  Continue to monitor.  MR
