id	Date	account	source	result	remark	antibiotic	sensitivity	Description
cy0269	2009-07-09	prj23ea	t-59666	l-13501	min presumptive c. coli	c-52800	s	source: feces (t-59666), result: campylobacter coli (l-13501), remark: min presumptive c. coli, antibiotic: chloramphenicol nos (c-52800), sensitivity: s
cy0267	2009-07-09	prj23ea	t-59666	l-13528	min-mod pres. campy lari	c-55000	s	source: feces (t-59666), result: campylobacter lari (organism) (l-13528), remark: min-mod pres. campy lari, antibiotic: tetracycline (c-55000), sensitivity: s
cy0252	2009-07-09	prj23ea	t-59666	w-10001				source: feces (t-59666), result: negative for salmonella, shigella, and campylobacter (w-10001)
cy0265	2009-07-09	prj23ea	t-59666	l-13528	min growth c. lari	c-55720	r	source: feces (t-59666), result: campylobacter lari (organism) (l-13528), remark: min growth c. lari, antibiotic: nalidixic acid (c-55720), sensitivity: r
cy0256	2009-07-09	prj23ea	t-59666	w-10001				source: feces (t-59666), result: negative for salmonella, shigella, and campylobacter (w-10001)
cy0259	2009-07-09	prj23ea	t-59666	l-13528	min growth presum c. lari	c-52a00	s	source: feces (t-59666), result: campylobacter lari (organism) (l-13528), remark: min growth presum c. lari, antibiotic: erythromycin (c-52a00), sensitivity: s
cy0249	2009-07-09	prj23ea	t-59666	l-13500	min growth c. lari	c-53140	r	source: feces (t-59666), result: campylobacter, nos (l-13500), remark: min growth c. lari, antibiotic: cephalothin (c-53140), sensitivity: r
cy0270	2009-07-09	prj23ea	t-59666	l-13528	mod growth presump. c. lari	c-52a00	s	source: feces (t-59666), result: campylobacter lari (organism) (l-13528), remark: mod growth presump. c. lari, antibiotic: erythromycin (c-52a00), sensitivity: s
cy0250	2009-07-09	prj23ea	t-59666	l-13528	min-mod growth c. lari	c-53140	r	source: feces (t-59666), result: campylobacter lari (organism) (l-13528), remark: min-mod growth c. lari, antibiotic: cephalothin (c-53140), sensitivity: r
cy0267	2009-07-09	prj23ea	t-59666	l-13528	min-mod pres. campy lari	c-53140	r	source: feces (t-59666), result: campylobacter lari (organism) (l-13528), remark: min-mod pres. campy lari, antibiotic: cephalothin (c-53140), sensitivity: r
cy0269	2009-07-09	prj23ea	t-59666	l-13501	min presumptive c. coli	c-55710	s	source: feces (t-59666), result: campylobacter coli (l-13501), remark: min presumptive c. coli, antibiotic: ciprofloxacin (c-55710), sensitivity: s
cy0266	2009-07-09	prj23ea	t-59666	w-10001				source: feces (t-59666), result: negative for salmonella, shigella, and campylobacter (w-10001)
cy0253	2009-07-09	prj23ea	t-59666	w-10001				source: feces (t-59666), result: negative for salmonella, shigella, and campylobacter (w-10001)
cy0265	2009-07-09	prj23ea	t-59666	l-13528	min growth c. lari	c-55000	s	source: feces (t-59666), result: campylobacter lari (organism) (l-13528), remark: min growth c. lari, antibiotic: tetracycline (c-55000), sensitivity: s
cy0257	2009-07-09	prj23ea	t-59666	w-10001				source: feces (t-59666), result: negative for salmonella, shigella, and campylobacter (w-10001)
cy0259	2009-07-09	prj23ea	t-59666	l-13528	min growth presum c. lari	c-55720	r	source: feces (t-59666), result: campylobacter lari (organism) (l-13528), remark: min growth presum c. lari, antibiotic: nalidixic acid (c-55720), sensitivity: r
cy0249	2009-07-09	prj23ea	t-59666	l-13500	min growth c. lari	c-52800	s	source: feces (t-59666), result: campylobacter, nos (l-13500), remark: min growth c. lari, antibiotic: chloramphenicol nos (c-52800), sensitivity: s
cy0270	2009-07-09	prj23ea	t-59666	l-13528	mod growth presump. c. lari	c-55720	r	source: feces (t-59666), result: campylobacter lari (organism) (l-13528), remark: mod growth presump. c. lari, antibiotic: nalidixic acid (c-55720), sensitivity: r
cy0250	2009-07-09	prj23ea	t-59666	l-13528	min-mod growth c. lari	c-52800	s	source: feces (t-59666), result: campylobacter lari (organism) (l-13528), remark: min-mod growth c. lari, antibiotic: chloramphenicol nos (c-52800), sensitivity: s
cy0267	2009-07-09	prj23ea	t-59666	l-13528	min-mod pres. campy lari	c-52800	s	source: feces (t-59666), result: campylobacter lari (organism) (l-13528), remark: min-mod pres. campy lari, antibiotic: chloramphenicol nos (c-52800), sensitivity: s
cy0269	2009-07-09	prj23ea	t-59666	l-13501	min presumptive c. coli	c-52a00	s	source: feces (t-59666), result: campylobacter coli (l-13501), remark: min presumptive c. coli, antibiotic: erythromycin (c-52a00), sensitivity: s
cy0265	2009-07-09	prj23ea	t-59666	l-13528	min growth c. lari	c-53140	r	source: feces (t-59666), result: campylobacter lari (organism) (l-13528), remark: min growth c. lari, antibiotic: cephalothin (c-53140), sensitivity: r
cy0262	2009-07-09	prj23ea	t-59666	w-10001				source: feces (t-59666), result: negative for salmonella, shigella, and campylobacter (w-10001)
cy0261	2009-07-09	prj23ea	t-59666	w-10001				source: feces (t-59666), result: negative for salmonella, shigella, and campylobacter (w-10001)
cy0258	2009-07-09	prj23ea	t-59666	w-10001				source: feces (t-59666), result: negative for salmonella, shigella, and campylobacter (w-10001)
cy0259	2009-07-09	prj23ea	t-59666	l-13528	min growth presum c. lari	c-55000	s	source: feces (t-59666), result: campylobacter lari (organism) (l-13528), remark: min growth presum c. lari, antibiotic: tetracycline (c-55000), sensitivity: s
cy0249	2009-07-09	prj23ea	t-59666	l-13500	min growth c. lari	c-55710	r	source: feces (t-59666), result: campylobacter, nos (l-13500), remark: min growth c. lari, antibiotic: ciprofloxacin (c-55710), sensitivity: r
cy0270	2009-07-09	prj23ea	t-59666	l-13528	mod growth presump. c. lari	c-55000	r	source: feces (t-59666), result: campylobacter lari (organism) (l-13528), remark: mod growth presump. c. lari, antibiotic: tetracycline (c-55000), sensitivity: r
cy0250	2009-07-09	prj23ea	t-59666	l-13528	min-mod growth c. lari	c-55710	r	source: feces (t-59666), result: campylobacter lari (organism) (l-13528), remark: min-mod growth c. lari, antibiotic: ciprofloxacin (c-55710), sensitivity: r
